Author,Target,Description,Attack,Target Class,Attack Class,Link,Tags,Day,Month,Year,AttackGroup,AttackEncoded,AttackClassEncoded,TargetClassGroup,TargetClassEncoded,Africa,Asia,Australia,Europe,North America,South America,AuthorKnown
?,Bisq,"Cryptocurrency exchange Bisq halts trading following a cyberattack leading to the theft of $250,000 worth of virtual currency from users.",Vulnerability,V Fintech,CC,zdnet.com,"Bisq, Crypto",8,4,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,0,1,0,0
?,Cisco Webex users,Researchers from Cofense discover a new phishing campaign using a fake Cisco “critical security advisory” in a new phishing campaign aimed at stealing victims’ Webex credentials.,Account Hijacking,X Individual,CC,securityaffairs.co,"Cofense, Cisco Webex, COVID-19, Coronavirus",8,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,Microsoft warns that cyber-criminals are preying on people’s vulnerable psychological states during the COVID-19 pandemic to attack businesses via phishing attacks.,Account Hijacking,Y Multiple Industries,CC,infosecurity-magazine.com,"Microsoft, Coronavirus, COVID-19",8,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Government of North Rhine-Westphalia,"The government of North Rhine-Westphalia, a province in western Germany, is believed to have lost tens of millions of euros through a phishing operation mimicking a website built to distribute COVID-19 aid.",Account Hijacking,"O Public administration and defence, compulsory social security",CC,zdnet.com,"North Rhine-Westphalia, COVID-19",9,4,2020,Account Hijacking,1,0,Public Sector/ Government,12,0,0,0,1,0,0,0
?,Android users,"Check Point’s researchers discover 16 different malicious apps masquerading as legitimate coronavirus apps, which contain a range of malware aimed at stealing users’ sensitive information or generating fraudulent revenues.",Malware,X Individual,CC,forbes.com,"Check Point, coronavirus, COVID-19, Android",9,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,E-Commerce sites powered by WordPress,Researchers from Sucuri discover a dedicated Javascript skimmer targeting WordPress e-commerce sites powered by WooCommerce.,Malware,Y Multiple Industries,CC,bleepingcomputer.com,"Sucuri, Javascript, WooCommerce",9,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,A large email extortion campaign is underway telling recipients that their computer was hacked and that a video was taken through the hacked computer's webcam.,Malware,X Individual,CC,bleepingcomputer.com,Extortion,9,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,Researchers from Inky discover a phishing campaign trying to impersonate the White House who is sending out Coronavirus guidelines on behalf of President Trump.,Account Hijacking,X Individual,CC,bleepingcomputer.com,"Inky, White House, Mike Pence, Coronavirus, COVID-19",9,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,DESMI,"DESMI, a global company specialized in the development and manufacture of pump solutions, discloses a cyber attack.",Malware,C Manufacturing,CC,securityaffairs.co,"DESMI, ransomware",9,4,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,1,0,0,0
?,"Several Iranian sites including Niazpardaz[.]ir, Arzi24[.]com","Someone is selling personal details of 45,000 Iranians on the dark web.",Unknown,X Individual,CC,hackread.com,"Niazpardaz[.]ir, Arzi24[.]com",9,4,2020,Unknown,13,0,Multiple Industries,9,0,1,0,0,0,0,0
?,Mediterranean Shipping Co (MSC),"Mediterranean Shipping Co., the world’s second largest container line, says it has been hit by a network outage. Few days later the company confirms a malware cyber attack.",Malware,H Transportation and storage,CC,infosecurity-magazine.com,"Mediterranean Shipping Co, (MSC)",10,4,2020,Malware,8,0,Transportation,15,0,0,0,1,0,0,0
Protag,Quidd,"Quidd, an online marketplace for trading stickers, cards, toys, and other collectibles, appears to have suffered a data breach in 2019, and the details of around four million users are now being shared for free on underground hacking forums.",Unknown,R Arts entertainment and recreation,CC,zdnet.com,Quidd,10,4,2020,Unknown,13,0,Arts/ Entertainment,1,0,0,0,0,1,0,1
Nefilim,MAS Holdings,The Nefilim ransomware group operators leak the data of MAS Holdings.,Malware,C Manufacturing,CC,medium.com,"Nefilim, Mas Holdings, ransomware",10,4,2020,Malware,8,0,Manufacturing/ Energy,8,0,1,0,0,0,0,1
?,Single Individuals,"Researchers from IntSights discover a database available on an underground forum in the dark web containing more than 2,300 compromised Zoom credentials.",Credential Stuffing,X Individual,CC,securityaffairs.co,"IntSights, Zoom",10,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Saint Francis Ministries,"An unauthorized party gained entry into an employee’s email account at Saint Francis Ministries, accessing sensitive personal identifying information, as well as financial and protected health data between Dec. 13 and 20 of 2019.",Account Hijacking,S Other service activities,CC,scmagazine.com,Saint Francis Ministries,10,4,2020,Account Hijacking,1,0,Other,10,0,0,0,0,1,0,0
?,Single Individuals,Researchers from Sophos reveal a surge in sextortion emails.,Malware,X Individual,CC,nakedsecurity.sophos.com,"Sophos, Sextortion",10,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,115 million Pakistani mobile users,Researchers from Rewterz discover a data dump of 115 million Pakistani mobile users for sale on the dark web today. The cyber criminal behind this data breach demands 300 BTC ($2.1 million USD) for the data.,Unknown,X Individual,CC,databreaches.net,"Rewterz, Pakistan",10,4,2020,Unknown,13,0,Multiple Industries,9,0,1,0,0,0,0,0
?,Monte dei Paschi,Hackers accessed the mailboxes of some employees at Italian state-owned bank Monte dei Paschi and send emails to clients. The attack occurred on March 30.,Account Hijacking,K Financial and insurance activities,CC,reuters.com,Monte dei Paschi,11,4,2020,Account Hijacking,1,0,Financial Services,4,0,0,0,1,0,0,0
?,Lafayette Regional Rehabilitation Hospital,Lafayette Regional Rehabilitation Hospital suffers a second phishing attack in few months.,Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Lafayette Regional Rehabilitation Hospital,11,4,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Single Individuals,"A malware distributor has decided to play a nasty prank by locking victim's computers, and blaming the infection on two well-known and respected security researchers.",Malware,X Individual,CC,bleepingcomputer.com,Ransomware,12,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,New York State,"New York State officials are investigating a breach of the state government computer network. The attack, discovered in late January, is believed to have originated outside of the United States.",Vulnerability,"O Public administration and defence, compulsory social security",CE,darkreading.com,New York State,12,4,2020,Vulnerability Exploitation,14,1,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Doctors based in the US,A cybercriminal is selling personal and contact details of 1.41 million doctors based in the United States.,Unknown,Q Human health and social work activities,CC,hackread.com,"University of York, Oxford Brookes University, Loughborough University, University of Leeds, University of London, University of Reading, University College Oxford, Ambrose University in Alberta, Canada Human Rights Watch, Young Minds, Rhode Island School of Design in the US, University of Exeter",12,4,2020,Unknown,13,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Cyble discover over 500,000 Zoom accounts sold on the dark web and hacker forums.",Credential Stuffing,X Individual,CC,bleepingcomputer.com,"Cyble, 500,000, Zoom",13,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Hartford HealthCare,Hartford HealthCare releases a statement warning patients about a phishing incident that took place between February 13 and February 14 this year.,Account Hijacking,Q Human health and social work activities,CC,infosecurity-magazine.com,Hartford HealthCare,13,4,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Government agencies involved in the procurement of personal protective equipment and other supplies,"The FBI issues a warning of BEC scams against government agencies involved in the procurement of personal protective equipment and other supplies, during the COVID-19 Pandemic.",Business Email Compromise,"O Public administration and defence, compulsory social security",CC,threatpost.com,"FBI, COVID-19, Coronavirus",13,4,2020,Social Engineering,10,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Accounts of banking customers in Spain,"Researchers from Kaspersky warn of a remote overlay malware attack carried out via a malware called Grandoreiro, which leverages a fake Chrome browser plugin to target the accounts of banking customers in Spain.",Malware,K Financial and insurance activities,CC,threatpost.com,"Kaspersky, Grandoreiro, Chrome",13,4,2020,Malware,8,0,Financial Services,4,0,0,0,1,0,0,0
?,Doctors Community Medical Center,Doctors Community Medical Center notifies an unreported number of patients whose protected health information was potentially compromised by a phishing incident discovered in January.,Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Doctors Community Medical Center,13,4,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
Ragnar Locker,Energias de Portugal (EDP),Attackers using the Ragnar Locker ransomware encrypt the systems of Portuguese multinational energy giant Energias de Portugal (EDP) and are now asking for a 1580 BTC ransom ($10.9M or €9.9M).,Malware,D Electricity gas steam and air conditioning supply,CC,bleepingcomputer.com,"Energias de Portugal (EDP),",14,4,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,1,0,0,1
?,Chrome Users,Google removes 49 malicious Chrome browser extensions from its Web Store that were posing as cryptocurrency wallets in order to drain the contents of bona fide wallets. The applications were discovered by MyCrypto and PhishFort.,Malware,X Individual,CC,zdnet.com,"Google, Chrome, MyCrypto, PhishFort, crypto",14,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,"Researchers at White Ops reveal the details of ICEBUCKET, a massive online fraud operation that for the past few months has been mimicking smart TVs to gain profits from online ads.",Server-Side Ad Insertion (SSAI) Hijacking,X Individual,CC,zdnet.com,"White Ops, ICEBUCKET, Smart TVs",14,4,2020,Denial of Service,5,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Canadian government healthcare organization,Researchers from Palo Alto discover a ransomware attack against a Canadian government healthcare organization exploiting the COVID-19 pandemic.,Malware,Q Human health and social work activities,CC,securityaffairs.co,"Palo Alto Networks, ransomware, COVID-19, Coronavirus",14,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Canadian medical research facility,Researchers from Palo Alto discover a ransomware attack against a Canadian medical research facility exploiting the COVID-19 pandemic.,Malware,Q Human health and social work activities,CC,securityaffairs.co,"Palo Alto Networks, ransomware, COVID-19, Coronavirus",14,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Medical organizations and medical research facilities located in Japan and Canada,"Researchers from Palo Alto discover a separate campaign targeting various organizations, including medical organizations and medical research facilities located in Japan and Canada, with the AgentTesla malware.",Malware,Q Human health and social work activities,CC,threatpost.com,"Palo Alto, AgentTesla, COVID-19, Coronavirus",14,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,GitHub users,GitHub users are targeted by a Sawfish phishing campaign designed to steal their GitHub login credentials and time-based one-time password (TOTP) codes.,Account Hijacking,Y Multiple Industries,CC,scmagazine.com,"GitHub, Sawfish",14,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Individuals in the US,Researchers from Fortinet discover a new variant of the NetWire RAT delivered via IRS-themed phishing emails.,Malware,X Individual,CC,threatpost.com,"Fortinet, NetWire, IRS, COVID-19, Coronavirus",14,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
TA505,Multiple targets,"Researchers from IBM X-Force reveal that the TA505 cybercrime group has ramped up its attacks lately, with a set of campaigns spreading the persistent SDBbot RAT.",Malware,Y Multiple Industries,CC,threatpost.com,"IBM X-Force, TA505, SDBbot",14,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,1
?,Two Manitoba law firms,Two Manitoba law firms are hit with a ransomware attack.,Malware,M Professional scientific and technical activities,CC,databreaches.net,"Manitoba, ransomware",14,4,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,0
?,"Users in Pakistan, India, Afghanistan, Bangladesh, Iran, Saudi Arabia, Austria, Romania, Grenada, and Russia.","Researchers at Trend Micro discover a potential cyberespionage campaign, named Project Spy, that infects Android and iOS devices with spyware in disguise of a fake COVID-19 app.",Malware,Y Multiple Industries,CE,hackread.com,"Trend Micro, Project Spy, COVID-19",14,4,2020,Malware,8,1,Multiple Industries,9,0,0,0,0,1,0,0
Syrian Electronic Army (SEA),Single Individuals in Syria,Researchers at Lookout discover a COVID-19 Themed Spyware targeting Syrian citizens.,Malware,X Individual,CE,forbes.com,"Lookout, COVID-19, Coronavirus",15,4,2020,Malware,8,1,Multiple Industries,9,0,1,0,0,0,0,1
International Union of Virtual Media (IUVM) (linked to Iran),Social Network users,"Researchers from Graphika discover an Iranian-linked group spreading disinformation about Coronavirus on Facebook, Instagram, and Twitter.",Fake Social Network accounts/groups/pages,X Individual,CW,forbes.com,"Graphika, Iran, COVID-19, Coronavirus, Facebook, Instagram, Twitter, International Union of Virtual Media, IUVM",15,4,2020,Phishing,9,2,Multiple Industries,9,0,0,0,0,1,0,1
Satan,Mercantile Communications Pvt Ltd,A group of hackers manage to gain access to the .np domain of Mercantile Communications Pvt Ltd.,DNS Hijacking,J Information and communication,CC,thehimalayantimes.com,"Mercantile Communications Pvt Ltd, Satan",15,4,2020,Account Hijacking,1,0,Information/ Communication,7,0,1,0,0,0,0,1
?,Valorant players,"Soon after the game Valorant entered closed beta, malware samples are released that targets users who are trying to play the game or get beta keys.",Malware,R Arts entertainment and recreation,CC,bleepingcomputer.com,Valorant,15,4,2020,Malware,8,0,Arts/ Entertainment,1,0,0,0,0,1,0,0
?,Single Individuals,Researchers from Trustwave detect a peak of BEC scams leveraging COVID-19,Business Email Compromise,X Individual,CC,techrepublic.com,"Trustwave, COVID-19, Coromnavirus",15,4,2020,Social Engineering,10,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Wappalyzer,"Tech company Wappalyzer discloses a security incident after a hacker began emailing its customers and offering to sell Wappalyzer's database for $2,000. The incident took place on January 20.",Misconfiguration,M Professional scientific and technical activities,CC,zdnet.com,Wappalyzer,15,4,2020,Exploitation of Infrastructure,6,0,Information/ Communication,7,0,0,1,0,0,0,0
?,Customers of the main Portuguese banks,A new Android Trojan-Banker targets customers of the main Portuguese banks.,Malware,K Financial and insurance activities,CC,securityaffairs.co,"Android, Trojan-Banker",15,4,2020,Malware,8,0,Financial Services,4,0,0,0,1,0,0,0
?,Single Individuals,Researchers from Mimecast discover a flight refund scam exploiting the COVID-19 outbreak.,Account Hijacking,X Individual,CC,theregister.co.uk,"Mimecast, COVID-19, Coronavirus",15,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
Hidden Cobra,US and western financial institutions,The Department of Home Security issues a warning that hackers from North Korea are launching new attacks against US and western financial institutions.,Targeted Attack,K Financial and insurance activities,CC,darkreading.com,"DHS, Department of Homeland Security, DHS, Hidden Cobra, CISA",15,4,2020,Targeted Attack,12,0,Financial Services,4,0,0,0,0,1,0,1
?,Applications Software Technologies,Applications Software Technologies reveals to have discovered on March 9 that an unauthorized party had accessed the company by obtaining access to a company email account.,Account Hijacking,M Professional scientific and technical activities,CC,scmagazine.com,Applications Software Technologies,15,4,2020,Account Hijacking,1,0,Information/ Communication,7,0,0,0,0,1,0,0
?,EA Sports,EA Sports is hit by a DDoS attack,DDoS,R Arts entertainment and recreation,CC,hackread.com,EA Sports,15,4,2020,Denial of Service,5,0,Arts/ Entertainment,1,0,0,0,0,1,0,0
?,"South African Department for Women, Youth, and Persons with Disabilities","The South African Department for Women, Youth, and Persons with Disabilities is the latest victim of a Zoom bombing attack.",Zoom bombing,"O Public administration and defence, compulsory social security",CC,hackread.com,"South African Department for Women, Youth, and Persons with Disabilities, Zoom",15,4,2020,Denial of Service,5,0,Public Sector/ Government,12,1,0,0,0,0,0,0
?,Vulnerable ZyXEL routers,"Researchers from Palo Alto Networks discover a new variant of the Hoaxcalls botnet, spreading via an unpatched vulnerability impacting the ZyXEL Cloud CNM SecuManager that was disclosed last month.",Vulnerability,Y Multiple Industries,CC,threatpost.com,"Palo Alto Networks, Hoaxcalls, ZyXEL, Grandstream, DrayTek",3,4,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Vulnerable Wordpress servers,Researchers from Sucuri reveal that attackers are actively targeting WordPress sites running the OneTone theme to exploit a vulnerability that allows them to read and write site cookies and create backdoor admin accounts.,Vulnerability,Y Multiple Industries,CC,zdnet.com,"Sucuri, WordPress, OneTone",15,4,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Vulnerable IoT devices,"Researchers at NetLab 360 discover Moobot, a new botnet family based on Mirai, which targets internet of things (IoT) devices.",Malware,Y Multiple Industries,CC,blog.netlab.360.com,"NetLab 360, Moobot, Mirai",15,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
Foreign government hackers,Companies conducting research into treatments for COVID-19,The FBI reveals that foreign government hackers have broken into companies conducting research into treatments for COVID-19.,Targeted Attack,Q Human health and social work activities,CE,reuters.com,"FBI, COVID-19",16,4,2020,Targeted Attack,12,1,Healthcare/ Social Services,5,0,0,0,0,1,0,1
?,Azerbaijan government and utility companies,"Researchers from Cisco Talos publish an analysis of a new campaign that deploys PoetRAT, a previously-undiscovered Remote Access Trojan (RAT) targeting both the Azerbaijan government and utility companies, and exploits the COVID-19 outbreak.",Targeted Attack,"O Public administration and defence, compulsory social security",CE,zdnet.com,"Cisco Talos, PoetRAT, COVID-19",16,4,2020,Targeted Attack,12,1,Public Sector/ Government,12,0,1,0,0,0,0,0
?,Ruby Users,Security researchers from ReversingLabs discover 725 Ruby libraries uploaded on the official RubyGems repository that contained malware meant to hijack users' clipboards.,Malware,Y Multiple Industries,CC,zdnet.com,"ReversingLabs, RubyGems, Ruby",16,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Avast discover a malvertising campaign taking advantage of COVID-19, targeting Internet Explorer users via the Fallout Exploit Kit, to steal their information via the Kpot v2.0 information stealer.",Malvertising,X Individual,CC,blog.avast.com,"Avast, COVID-19, Internet Explorer, Fallout Exploit Kit, Kpot v2.0",16,4,2020,Malvertising,7,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Aptoide,"A hacker leaks the details of 20 million users of Aptoide, a third-party app store for Android applications.",SQL Injection,J Information and communication,CC,zdnet.com,"Aptoide, Android",17,4,2020,Vulnerability Exploitation,14,0,Information/ Communication,7,0,0,0,1,0,0,0
Trickbot,Multiple targets,"Researchers from Microsoft's Security Intelligence team say that the operation behind Trickbot over the past few days sent out hundreds of emails purporting to relate to COVID-19 medical advice and testing, with the aim of installing Trickbot malware via unique ""macro-laced"" malicious document attachments inside the message.",Malware,Y Multiple Industries,CC,zdnet.com,"Microsoft, Trickbot, COVID-19, Coronavirus",17,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,1
Clop,ExecuPharm,U.S. pharmaceutical giant ExecuPharm has its data leaked after it refuses to pay the ransom.,Malware,Q Human health and social work activities,CC,techcrunch.com,"ExecuPharm, Clop",17,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,1
?,Organizations in Italy,Researchers from Cybaze-Yoroi ZLab discover a new variant of Ursnif targeting organizations in Italy.,Malware,Y Multiple Industries,CC,securityaffairs.co,"Cybaze-Yoroi ZLab, Ursnif",17,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,1,0,0,0
?,PrimoHoagies,"PrimoHoagies reveals that cyber-attackers had broken into its online payment platform and accessed the payment card information of customers who made online purchases between July 15, 2019, and February 18, 2020.",Malware,I Accommodation and food service activities,CC,infosecurity-magazine.com,PrimoHoagies,17,4,2020,Malware,8,0,Accommodation and Food Services,0,0,0,0,0,1,0,0
?,Banking users,Researchers from Trustwave discover a new malspam campaign that sends Excel 4.0 xls 97-2003 files with a compromised macro in email messages. The campaign attempts to dupe users with themes ranging from fake invoices to COVID-19 related lures and distributes the Gozi banking trojan.,Malware,K Financial and insurance activities,CC,threatpost.com,"Trustwave, Excel, COVID-19, Gozi",17,4,2020,Malware,8,0,Financial Services,4,0,0,0,0,1,0,0
?,Aurora Medical Center Bay Area,Aurora Medical Center Bay Area notifies to have been hit with a phishing attack occurred on January 2020.,Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Aurora Medical Center Bay Area,17,4,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Olean City,Olean City is hit with a ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,Olean City. Ransomware,17,4,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Cognizant,Information technologies services giant Cognizant is hit by the Maze Ransomware.,Malware,M Professional scientific and technical activities,CC,bleepingcomputer.com,"Cognizant, Maze",18,4,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,0
?,"Webkinz World,","A hacker leaks the usernames and passwords of nearly 23 million players of Webkinz World, an online children's game managed by Canadian toy company Ganz.",SQL Injection,R Arts entertainment and recreation,CC,zdnet.com,"Webkinz World, Ganz",18,4,2020,Vulnerability Exploitation,14,0,Arts/ Entertainment,1,0,0,0,0,1,0,0
?,Uniswap,Hackers try to attack the Uniswap cryptocurrency exchange but the attack is unsuccessful.,Vulnerability,V Fintech,CC,zdnet.com,"Uniswap, Crypto",19,4,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,0,1,0,0
?,Lendf.me,The same hackers steal more than $25 million in cryptocurrency from the Lendf.me lending platform but they need to return the money after they are caught.,Vulnerability,V Fintech,CC,zdnet.com,"Lendf.me, crypto",19,4,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,0,1,0,0
?,Facebook users,Researchers from Cyble discover a threat actor selling a database with 267 million Facebook profiles for £500 on the dark web and through hacking forums.,Misconfiguration,X Individual,CC,bleepingcomputer.com,"Cyble, Facebook",19,4,2020,Exploitation of Infrastructure,6,0,Multiple Industries,9,0,0,0,0,1,0,0
?,UniCredit,"Researchers from Tesly reveal that data on about 3,000 UniCredit SpA employees was put up for sale on cybercrime forums after an SQL Injection attack.",SQL Injection,K Financial and insurance activities,CC,bloomberg.com,UniCredit,19,4,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,1,0,0,0
?,"Energy, manufacturing, and business services in the United States",Researchers from Proofpoint discover a new campaign designed to steal user credentials via a lure that claims to welcome users to their new Zoom account.,Account Hijacking,Y Multiple Industries,CC,proofpoint.com,"Proofpoint, Zoom, COVID-19",19,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
TA4562,"Manufacturing industrial, marketing/advertising, technology, IT and construction companies",Researchers from Proofpoint discover a campaign distributing the ServLoader and NetSupport remote access Trojans (RATs) via fake Zoom meetings cancellations.,Malware,Y Multiple Industries,CC,proofpoint.com,"Proofpoint, Zoom, COVID-19, TA4562",19,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,1
?,Danish Agro,Danish Agro is hit with a ransomware attack.,Malware,S Other service activities,CC,databreaches.net,"Danish Agro, ransomware",19,4,2020,Malware,8,0,Other,10,0,0,0,1,0,0,0
"Winnti (aka APT41, BARIUM, Blackfly).",Gravity,"Researchers from QuoIntelligence (QuoINT) reveal that attackers from Winnti (aka APT41, BARIUM, Blackfly attempted to breach the internal network of Gravity, the South Korean gaming company behind the popular Ragnarok Online Massive Multiplayer Online Role-Playing Game.",Targeted Attack,R Arts entertainment and recreation,CE,zdnet.com,"QuoIntelligence, QuoINT, Winnti, APT41, BARIUM, Blackfly, Gravity, Ragnarok",20,4,2020,Targeted Attack,12,1,Arts/ Entertainment,1,0,1,0,0,0,0,1
?,Believr,"Hackers infiltrate a Zoom meeting of a virtual church service hosted by Adam Evers, the founder of the Christian LGBTQ+ dating app Believr.",Zoom Bombing,S Other service activities,CC,hackread.com,"Zoom, Believr",20,4,2020,Denial of Service,5,0,Other,10,0,0,0,0,1,0,0
?,Chartered Institute for Securities and Investments (CISI),The Chartered Institute for Securities and Investments (CISI) confirms that some of its members may have had their financial information stolen after “malicious code” was inserted on its website.,Malware,S Other service activities,CC,databreaches.net,"Chartered Institute for Securities and Investments, CISI",20,4,2020,Malware,8,0,Other,10,0,0,0,1,0,0,0
?,Brandywine Counseling and Community Services,Brandywine Counseling and Community Services notifies patients of a ransomware incident occurred on February 2020.,Malware,Q Human health and social work activities,CC,databreaches.net,"Brandywine Counseling and Community Services, ransomware",20,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Nintendo users,"Nintendo users report that their accounts have been getting hacked and accessed from remote locations around the globe, with some users losing money as a result of the unauthorized intrusion. Few days after the company confirms the compromise of 160,000 accounts after the attackers exploited its Nintendo Network ID (NNID) login system.",Account Hijacking,R Arts entertainment and recreation,CC,zdnet.com,"Nintendo, Nintendo Network ID, NNID",21,4,2020,Account Hijacking,1,0,Arts/ Entertainment,1,0,1,0,0,0,0,0
?,China's Uyghur minority,"Security firm Volexity discovers Insomnia, a new iOS exploit used to spy on China's Uyghur minority.",Targeted Attack,X Individual,CE,zdnet.com,"Volexity, Insomnia, iOS, Uyghur",21,4,2020,Targeted Attack,12,1,Multiple Industries,9,0,1,0,0,0,0,0
?,Zoom users in corporate environments,"Researchers from Abnormal Security discover a new phishing campaign targeting Zoom users, using fake Zoom meeting notifications to warn victims that their contracts will either be suspended or terminated.",Account Hijacking,Y Multiple Industries,CC,bleepingcomputer.com,"Abnormal Security, Zoom, COVID-19",21,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
DoppelPaymer,City of Torrance,The City of Torrance of the Los Angeles metropolitan area is hit by the DoppelPaymer Ransomware.,Malware,"O Public administration and defence, compulsory social security",CC,bleepingcomputer.com,"The City of Torrance, DoppelPaymer",21,4,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,1
?,US healthcare providers,The FBI warns of ongoing phishing campaigns targeting US healthcare providers using COVID-19 themed lures to distribute malicious attachments.,Malware,Q Human health and social work activities,CC,bleepingcomputer.com,"FBI, COVID-19",21,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Single Individuals,"A fake WiFi hacking program is used to distribute CoronaLocker, a new Coronavirus-themed malware that tries to lock the victim out of Windows while making some very annoying sounds.",Malware,X Individual,CC,bleepingcomputer.com,"CoronaLocker, COVID-19",21,4,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Oil and gas industries in multiple countries,Researchers from Bitdefender discover a new campaign targeting the oil and gas industry sector with highly targeted spearphishing campaigns impersonating shipment companies and engineering contractors while attempting to infect their targets with Agent Tesla info-stealer malware payloads.,Targeted Attack,D Electricity gas steam and air conditioning supply,CE,bleepingcomputer.com,"Bitdefender, Agent Tesla",21,4,2020,Targeted Attack,12,1,Manufacturing/ Energy,8,0,0,0,0,1,0,0
?,Parkview Medical Center,Parkview Medical Center is hit with a ransomware attack.,Malware,Q Human health and social work activities,CC,techrepublic.com,"Parkview Medical Center, ransomware",21,4,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Single Individuals,Researchers from ZeroFOX discover a massive scam campaign circulating via WhatsApp.,Account Hijacking,X Individual,CC,darkreading.com,"ZeroFOX, WhatsApp, COVID-19",21,4,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Whisky Auctioneer,An online auction of rare whiskies is postponed indefinitely following a DDoS attack.,DDoS,R Arts entertainment and recreation,CC,infosecurity-magazine.com,Whisky Auctioneer,21,4,2020,Denial of Service,5,0,Arts/ Entertainment,1,0,0,0,0,1,0,0
?,"Banking users in Spain, Portugal, Brazil and other parts of Latin America","Researchers from IBM X-Force uncover Banking.BR, a new Android banking trojan targeting users in countries that speak Spanish or Portuguese, namely Spain, Portugal, Brazil and other parts of Latin America.",Malware,K Financial and insurance activities,CC,threatpost.com,"BM X-Force, Banking.BR",21,4,2020,Malware,8,0,Financial Services,4,0,0,0,0,1,0,0
